f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,f_host_response_time,p_host_response_rate,p_host_acceptance_rate,usd_price,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincefirst,n_days_sincelast,d_backyard,d_baking_sheet,d_barbecue_utensils,d_bathtub,d_bed_linens,d_board_games,d_building_staff,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_cleaning_products,d_cooking_basics,d_dining_table,d_dishes_and_silverware,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_ev_charger,d_extra_pillows_and_blankets,d_fire_extinguisher,d_first_aid_kit,d_freezer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_hot_water_kettle,d_keypad,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_mini_fridge,d_outdoor_dining_area,d_outdoor_furniture,d_outlet_covers,d_private_entrance,d_roomdarkening_shades,d_safe,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_toaster,d_waterfront,d_window_guards,d_wine_glasses,d_have_kitchen,d_have_stove,d_have_oven,d_have_frige,d_have_o_machineee_machinecoffee,d_have_gril,d_have_freeon_premises,d_have_freestreet,d_host_is_superhost,d_host_identity_verified,price,id,neighbourhood_cleansed,room_type,property_type
unit,Entire home/apt,Entire/Apt,Leopoldstadt,within a day,67,100,92.33999999999999,5,1.5,1,3,4.29,27,0.22,2,349,3707,99,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,81,119627,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Leopoldstadt,within an hour,100,100,80.94,4,1,1,2,4.96,295,2.31,3,330,3835,17,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,71,121026,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Leopoldstadt,NA,NA,NA,85.49999999999999,2,1,1,1,4.53,54,0.52,2,342,3107,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,125683,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Ottakring,NA,NA,NA,69.53999999999999,4,1,1,1,NA,0,NA,7,0,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,61,131628,Ottakring,Entire home/apt,unit
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,159.6,4,1,1,4,5,2,0.05,1,316,1136,1089,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,140,138264,Hernals,Entire home/apt,(condo)
unit,Entire home/apt,Entire/Apt,Leopoldstadt,within a day,100,0,136.79999999999998,4,1,1,1,5,7,0.06,3,2,3436,362,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,120,149759,Leopoldstadt,Entire home/apt,unit
(condo),Entire home/apt,Entire/Apt,Alsergrund,NA,NA,NA,59.279999999999994,3,1,1,2,4.46,130,1.04,1,320,3765,38,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,52,153988,Alsergrund,Entire home/apt,(condo)
unit,Entire home/apt,Entire/Apt,Leopoldstadt,within an hour,100,100,49.019999999999996,2,1,1,NA,4.17,8,0.08,14,167,3029,40,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,43,155762,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Simmering,within an hour,100,100,46.739999999999995,4,1,1,3,4.86,106,0.85,3,67,3735,119,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,41,163792,Simmering,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Margareten,within an hour,100,94,84.36,3,1,NA,1,4.78,65,0.82,1,6,2383,103,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,74,169752,Margareten,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Margareten,within an hour,100,94,83.22,5,1,1,2,4.69,65,0.53,1,8,3677,359,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,73,169852,Margareten,Entire home/apt,unit
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,123.11999999999999,2,1,1,2,5,2,0.03,1,270,1890,1799,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,108,197787,Hernals,Entire home/apt,(condo)
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,123.11999999999999,3,1,1,3,5,1,0.02,1,285,1954,1954,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,108,197796,Hernals,Entire home/apt,(condo)
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,86.63999999999999,2,1,NA,1,5,5,0.04,1,322,3345,1194,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,76,197809,Hernals,Entire home/apt,(condo)
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,86.63999999999999,2,1,1,2,NA,0,NA,1,304,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,76,197822,Hernals,Entire home/apt,(condo)
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,98.03999999999999,2,1,1,2,NA,0,NA,1,295,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,86,197827,Hernals,Entire home/apt,(condo)
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,159.6,4,1,2,4,NA,0,NA,1,334,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,140,197831,Hernals,Entire home/apt,(condo)
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,159.6,4,1,1,4,4.67,3,0.03,1,293,3128,1821,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,140,197842,Hernals,Entire home/apt,(condo)
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,98.03999999999999,2,1,NA,2,NA,0,NA,1,316,NA,NA,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,86,197852,Hernals,Entire home/apt,(condo)
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,98.03999999999999,2,1,NA,1,5,3,0.03,1,321,2961,1313,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,86,197857,Hernals,Entire home/apt,(condo)
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,98.03999999999999,2,1,NA,1,5,2,0.08,1,307,759,40,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,86,197859,Hernals,Entire home/apt,(condo)
(condo),Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,213.17999999999998,5,1,2,5,4,1,0.01,1,311,2895,2895,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,187,197865,Hernals,Entire home/apt,(condo)
apartment,Entire home/apt,Entire/Apt,Hernals,within an hour,100,91,213.17999999999998,5,1,2,5,5,1,0.02,1,334,1683,1683,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,187,197870,Hernals,Entire home/apt,apartment
unit,Entire home/apt,Entire/Apt,Alsergrund,within a day,100,97,109.44,6,1,2,4,4.79,66,0.59,1,362,3369,51,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,96,197968,Alsergrund,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Mariahilf,NA,NA,NA,159.6,6,1,2,3,4.27,22,0.4,3,0,1636,933,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,140,208734,Mariahilf,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Rudolfsheim-F<U+009F>nfhaus,within a day,97,79,108.3,3,1,NA,3,4.87,160,1.29,1,333,3717,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,95,210780,Rudolfsheim-F<U+009F>nfhaus,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Mariahilf,within a day,100,NA,155.04,6,1,3,6,4.62,22,0.27,30,365,2433,971,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,136,221345,Mariahilf,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Mariahilf,within a few hours,100,96,72.96,2,1,1,1,4.86,581,4.69,2,336,3717,21,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,64,222614,Mariahilf,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Josefstadt,a few days or more,0,NA,510.71999999999997,4,1,2,4,4.17,15,0.13,1,365,3542,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,448,222776,Josefstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Leopoldstadt,within an hour,97,97,43.31999999999999,5,1,1,3,4.6,459,3.7,1,346,3721,20,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,38,229535,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Josefstadt,a few days or more,0,NA,558.5999999999999,6,1,2,4,4.74,35,0.28,2,365,3713,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,490,230772,Josefstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Leopoldstadt,within an hour,97,97,29.639999999999997,2,1,NA,2,4.44,632,5.21,1,341,3635,21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,26,234613,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,NA,within an hour,100,100,102.6,6,1,1,3,4.4,145,1.25,2,272,3486,21,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,90,235772,Landstra§e,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,NA,within an hour,100,100,85.49999999999999,4,1,NA,2,4.47,46,0.38,2,305,3643,37,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,75,235787,Landstra§e,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Favoriten,within an hour,100,100,99.17999999999999,6,1,1,3,4.3,82,0.7,2,2,3538,32,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,87,235803,Favoriten,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Innere Stadt,within an hour,100,100,170.99999999999997,5,1,2,5,4.9,102,0.92,3,264,3322,646,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,150,235805,Innere Stadt,Entire home/apt,unit
(condo),Entire home/apt,Entire/Apt,Wieden,within a few hours,100,100,64.97999999999999,5,1,2,7,4.6,174,1.78,1,316,2927,17,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,57,242141,Wieden,Entire home/apt,(condo)
unit,Entire home/apt,Entire/Apt,Leopoldstadt,within an hour,90,96,45.599999999999994,5,1,1,NA,4.7,204,1.68,5,202,3642,17,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,40,242216,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,NA,within an hour,90,96,49.019999999999996,5,1,1,2,4.74,169,1.38,4,282,3680,68,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,43,242287,Landstra§e,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Mariahilf,within a day,100,90,136.79999999999998,5,1,1,2,4.88,27,0.23,2,343,3576,32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,120,244031,Mariahilf,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Mariahilf,within an hour,100,95,96.89999999999999,6,1.5,1,3,4.8,150,1.24,2,344,3629,136,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,85,244032,Mariahilf,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Simmering,NA,NA,NA,74.1,4,1,1,1,5,1,0.01,7,0,2488,2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,65,244919,Simmering,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Mariahilf,within a day,100,90,68.39999999999999,3,1,1,NA,4.72,36,0.33,2,0,3295,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,60,247879,Mariahilf,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Leopoldstadt,within an hour,100,100,56.99999999999999,2,1,1,1,4.91,83,0.68,3,345,3639,37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,50,251790,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Leopoldstadt,NA,NA,NA,87.77999999999999,4,1,2,2,4.7,133,1.09,2,124,3665,24,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,77,263788,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Leopoldstadt,within an hour,100,100,56.99999999999999,2,1,1,1,4.89,69,0.59,4,222,3527,74,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,50,271754,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Margareten,NA,NA,NA,127.67999999999999,2,2,1,1,5,6,0.05,4,365,3628,707,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,112,271872,Margareten,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Wieden,NA,NA,NA,125.39999999999999,3,1,1,1,5,7,0.16,14,241,1350,729,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,110,272589,Wieden,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Wieden,within an hour,100,100,44.459999999999994,2,1,1,1,4.77,151,1.31,2,345,3467,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,39,275667,Wieden,Entire home/apt,unit
